horaToma,Asset_id,A_Speed,Curr_fLevel,Curr_Temp
2017-10-05 00:00:01,211,0.000,0.000,84.000
2017-10-05 00:00:04,372,0.000,76.400,83.000
2017-10-05 00:00:19,299,101.700,65.600,86.000
2017-10-05 00:00:34,641,0.000,80.000,81.000
2017-10-05 00:00:40,658,78.700,100.000,83.000
2017-10-05 00:00:46,589,0.000,76.800,78.000
2017-10-05 00:00:47,578,14.300,97.600,75.000
2017-10-05 00:00:44,98,29.500,87.200,80.000
2017-10-05 00:00:48,424,5.900,0.000,86.000
2017-10-05 00:00:50,290,0.000,0.000,78.000
2017-10-05 00:00:51,321,104.000,0.000,77.000
2017-10-05 00:00:51,659,95.000,0.000,83.000
2017-10-05 00:00:52,435,92.400,14.800,84.000
2017-10-05 00:00:54,360,102.800,0.000,87.000
2017-10-05 00:00:41,29,101.700,78.400,86.000
2017-10-05 00:00:53,672,98.100,97.600,84.000
2017-10-05 00:00:57,562,0.000,10.000,36.000
2017-10-05 00:00:58,255,96.900,0.000,79.000
2017-10-05 00:00:59,644,92.400,87.600,83.000
2017-10-05 00:01:02,369,0.000,0.000,83.000
2017-10-05 00:00:19,298,82.700,100.000,81.000
2017-10-05 00:01:08,523,69.100,72.800,84.000
2017-10-05 00:01:02,414,0.000,5.200,77.000
2017-10-05 00:01:12,376,89.500,0.000,87.000
2017-10-05 00:01:13,295,0.000,0.000,54.000
2017-10-05 00:01:15,666,0.000,66.000,73.000
2017-10-05 00:00:52,45,100.000,52.400,84.000
2017-10-05 00:01:23,663,20.800,53.200,74.000
2017-10-05 00:00:53,202,0.000,0.000,40.000
2017-10-05 00:01:28,30,0.500,78.800,82.000
2017-10-05 00:01:31,445,3.300,0.000,50.000
2017-10-05 00:01:31,335,0.000,0.000,62.000
2017-10-05 00:01:34,611,104.000,55.600,86.000
2017-10-05 00:01:35,415,9.200,0.000,59.000
2017-10-05 00:01:39,599,0.000,100.000,55.000
2017-10-05 00:01:44,98,32.500,87.200,80.000
