horaToma,Asset_id,A_Speed,Curr_fLevel,Curr_Temp
2017-10-01 00:00:00,198,0.000,0.800,79.000
2017-10-01 00:00:01,512,80.500,2.000,83.000
2017-10-01 00:00:19,598,98.700,57.200,84.000
2017-10-01 00:00:07,5,99.600,0.000,81.000
2017-10-01 00:00:28,629,0.000,100.000,54.000
2017-10-01 00:00:35,661,0.000,57.200,73.000
2017-10-01 00:00:30,29,0.000,91.600,78.000
2017-10-01 00:00:23,338,0.000,90.400,63.000
2017-10-01 00:00:21,340,0.000,93.200,45.000
2017-10-01 00:00:22,229,1.400,0.000,66.000
2017-10-01 00:00:25,480,0.000,0.000,75.000
2017-10-01 00:00:43,235,0.000,0.000,79.000
2017-10-01 00:00:29,609,64.400,70.800,87.000
2017-10-01 00:00:51,290,57.900,0.000,79.000
2017-10-01 00:00:53,461,101.700,23.200,84.000
2017-10-01 00:00:21,372,0.000,87.600,71.000
2017-10-01 00:01:11,394,0.000,100.000,78.000
2017-10-01 00:01:11,523,0.000,23.200,79.000
2017-10-01 00:01:14,544,67.600,0.000,83.000
2017-10-01 00:01:16,416,0.000,28.800,59.000
2017-10-01 00:00:39,490,98.400,31.200,84.000
2017-10-01 00:01:20,225,8.700,92.000,77.000
2017-10-01 00:01:21,372,0.000,85.200,71.000
2017-10-01 00:01:22,70,91.200,0.000,79.000
2017-10-01 00:01:13,319,4.400,0.000,82.000
2017-10-01 00:01:27,505,103.600,79.600,90.000
2017-10-01 00:01:29,609,81.700,74.000,87.000
2017-10-01 00:00:40,548,42.000,33.200,81.000
2017-10-01 00:01:33,589,0.000,67.200,61.000
2017-10-01 00:01:31,616,96.300,90.000,92.000
2017-10-01 00:01:35,661,1.700,57.200,73.000
2017-10-01 00:01:37,437,6.200,0.000,83.000
2017-10-01 00:01:40,415,0.000,0.000,59.000
2017-10-01 00:01:40,121,30.600,91.600,80.000
2017-10-01 00:01:45,631,63.600,69.600,84.000
2017-10-01 00:01:46,141,97.800,0.000,88.000
2017-10-01 00:01:50,234,65.500,84.800,80.000
2017-10-01 00:01:11,438,84.600,11.600,89.000
2017-10-01 00:02:00,339,0.000,88.800,74.000
2017-10-01 00:02:02,512,95.300,2.400,85.000
2017-10-01 00:01:05,146,98.000,78.400,88.000
2017-10-01 00:02:05,600,0.000,100.000,42.000
2017-10-01 00:02:05,39,77.100,100.000,87.000
2017-10-01 00:02:07,518,99.500,0.000,83.000
2017-10-01 00:02:08,326,92.400,0.000,87.000
2017-10-01 00:02:13,200,0.000,0.000,71.000
2017-10-01 00:02:15,195,100.800,0.000,84.000
2017-10-01 00:02:22,102,39.300,94.800,78.000
2017-10-01 00:02:26,655,9.100,100.000,71.000
2017-10-01 00:02:31,139,61.500,86.400,89.000
2017-10-01 00:02:33,662,0.000,66.000,73.000
2017-10-01 00:02:33,154,0.000,100.000,62.000
2017-10-01 00:02:36,379,102.400,100.000,77.000
2017-10-01 00:00:21,420,0.000,0.000,77.000
2017-10-01 00:02:39,555,100.300,0.000,89.000
2017-10-01 00:02:41,30,0.000,78.000,54.000
2017-10-01 00:02:42,657,0.000,0.000,45.000
2017-10-01 00:02:49,28,17.500,0.000,79.000
2017-10-01 00:02:54,7,0.000,2.800,82.000
2017-10-01 00:02:57,366,0.000,88.400,64.000
2017-10-01 00:02:59,566,111.700,0.000,83.000
2017-10-01 00:02:52,174,0.000,92.000,84.000
2017-10-01 00:03:07,211,0.000,0.000,84.000
2017-10-01 00:03:08,182,101.000,78.000,78.000
2017-10-01 00:03:11,438,99.300,5.600,87.000
2017-10-01 00:03:18,6,99.600,99.600,81.000
2017-10-01 00:03:18,536,12.600,0.000,80.000
2017-10-01 00:03:20,198,0.000,0.000,79.000
2017-10-01 00:03:19,598,96.800,58.000,85.000
2017-10-01 00:02:55,507,115.000,12.000,74.000
2017-10-01 00:03:24,94,91.900,92.800,83.000
2017-10-01 00:03:26,655,0.000,100.000,72.000
2017-10-01 00:03:28,629,0.000,100.000,54.000
2017-10-01 00:03:31,616,63.600,100.000,90.000
2017-10-01 00:03:32,227,58.800,94.000,75.000
2017-10-01 00:03:20,37,90.800,64.000,88.000
2017-10-01 00:03:39,439,101.000,16.000,88.000
2017-10-01 00:03:40,121,49.900,91.600,78.000
2017-10-01 00:03:41,322,6.400,0.000,77.000
2017-10-01 00:03:43,541,0.000,0.000,74.000
2017-10-01 00:03:47,630,41.200,82.400,80.000
2017-10-01 00:03:49,28,31.700,0.000,78.000
2017-10-01 00:00:41,559,0.000,0.000,73.000
2017-10-01 00:01:43,614,101.200,0.000,85.000
2017-10-01 00:03:58,434,82.100,100.000,85.000
2017-10-01 00:03:59,672,0.400,98.400,75.000
2017-10-01 00:04:02,432,104.300,63.600,82.000
2017-10-01 00:01:20,562,52.900,4.400,77.000
2017-10-01 00:04:05,146,49.500,88.400,78.000
2017-10-01 00:04:05,39,0.000,100.000,79.000
2017-10-01 00:04:07,211,0.000,0.000,84.000
2017-10-01 00:04:08,182,101.000,78.000,77.000
2017-10-01 00:00:25,583,98.600,83.200,85.000
2017-10-01 00:04:14,373,54.500,0.000,85.000
2017-10-01 00:04:20,138,8.200,0.000,71.000
2017-10-01 00:04:21,446,95.700,0.000,83.000
2017-10-01 00:04:27,666,0.000,66.000,75.000
2017-10-01 00:04:26,655,17.100,100.000,72.000
2017-10-01 00:01:25,583,98.600,84.000,84.000
2017-10-01 00:04:31,616,57.100,100.000,87.000
2017-10-01 00:04:33,589,45.900,100.000,69.000
2017-10-01 00:03:21,562,94.700,4.400,83.000
2017-10-01 00:04:35,641,102.200,77.200,82.000
2017-10-01 00:04:39,439,90.500,19.600,90.000
2017-10-01 00:04:41,30,0.000,78.000,52.000
2017-10-01 00:04:47,265,82.100,0.400,83.000
2017-10-01 00:04:51,284,0.000,100.000,77.000
2017-10-01 00:03:45,581,97.100,99.200,86.000
2017-10-01 00:04:55,507,110.300,12.400,81.000
2017-10-01 00:03:14,587,20.400,83.200,79.000
2017-10-01 00:04:11,602,19.200,77.200,83.000
2017-10-01 00:04:59,566,111.500,0.000,85.000
2017-10-01 00:05:02,521,31.800,0.000,78.000
2017-10-01 00:05:05,600,0.000,100.000,42.000
2017-10-01 00:05:06,310,40.100,100.000,85.000
2017-10-01 00:05:09,670,0.000,36.000,74.000
2017-10-01 00:05:11,394,5.900,100.000,78.000
2017-10-01 00:04:14,587,20.000,85.600,76.000
2017-10-01 00:04:43,614,101.000,0.000,87.000
2017-10-01 00:05:14,544,73.300,0.000,86.000
2017-10-01 00:05:20,138,0.000,0.000,73.000
2017-10-01 00:05:22,340,0.000,94.400,44.000
2017-10-01 00:05:22,70,85.300,0.000,87.000
2017-10-01 00:05:27,547,33.400,0.000,78.000
2017-10-01 00:05:28,629,4.200,100.000,54.000
2017-10-01 00:05:32,152,98.000,100.000,82.000
2017-10-01 00:05:35,641,101.500,77.600,82.000
2017-10-01 00:05:36,379,101.800,100.000,77.000
2017-10-01 00:05:38,477,0.000,92.800,78.000
2017-10-01 00:05:40,121,0.000,91.600,78.000
2017-10-01 00:05:31,616,95.600,100.000,85.000
2017-10-01 00:05:41,559,18.400,0.000,72.000
2017-10-01 00:05:46,141,0.000,0.000,89.000
2017-10-01 00:05:47,630,0.000,82.400,82.000
2017-10-01 00:05:52,369,1.000,0.000,70.000
2017-10-01 00:05:04,557,0.000,0.000,36.000
2017-10-01 00:05:54,388,100.300,0.000,80.000
2017-10-01 00:05:56,663,0.000,96.800,73.000
2017-10-01 00:06:00,339,0.000,88.800,73.000
2017-10-01 00:06:03,40,66.500,80.400,87.000
2017-10-01 00:06:05,146,101.000,82.400,81.000
2017-10-01 00:06:07,326,86.100,0.000,83.000
2017-10-01 00:06:14,459,0.000,82.000,76.000
2017-10-01 00:06:18,536,20.500,0.000,80.000
2017-10-01 00:06:21,372,12.200,81.200,73.000
2017-10-01 00:06:22,102,86.900,94.000,80.000
2017-10-01 00:06:24,338,0.000,90.400,57.000
2017-10-01 00:06:29,609,75.700,69.200,88.000
2017-10-01 00:06:30,601,98.000,99.200,87.000
2017-10-01 00:06:34,188,99.900,100.000,82.000
2017-10-01 00:06:36,578,78.600,99.200,74.000
2017-10-01 00:06:32,152,98.200,100.000,83.000
2017-10-01 00:06:38,435,0.000,50.400,82.000
2017-10-01 00:06:40,548,91.900,32.800,87.000
2017-10-01 00:06:41,30,0.000,78.400,53.000
2017-10-01 00:06:41,559,0.000,0.000,74.000
2017-10-01 00:06:43,541,2.300,0.000,77.000
2017-10-01 00:06:46,141,13.100,0.000,80.000
2017-10-01 00:06:48,669,90.700,57.200,84.000
2017-10-01 00:06:48,96,0.000,0.000,75.000
2017-10-01 00:06:53,551,79.700,78.400,86.000
2017-10-01 00:06:54,7,20.800,11.600,83.000
2017-10-01 00:06:54,388,100.900,0.000,83.000
2017-10-01 00:06:56,658,0.000,100.000,74.000
2017-10-01 00:06:57,366,0.000,90.400,63.000
2017-10-01 00:06:59,671,99.900,100.000,84.000
2017-10-01 00:07:01,259,100.000,0.000,87.000
2017-10-01 00:07:02,432,34.700,93.200,81.000
2017-10-01 00:07:04,407,0.000,4.800,79.000
